id,sentence,target
7906,"  perhaps not since nelson his indian love call to has there been a movie so unabashedly canadian , not afraid to risk american or",+
7907,"  the overall fabric is hypnotic , and mr mattei moments of spontaneous intimacy",+
7908,  i got a watching this meaningless downer,-
7909,  what me is the lack of emphasis on music in britney spears ' first movie,-
7910,"  as the movie on , i thought i heard a mysterious voice , and felt myself drawn toward the light the light of the sign i have from the beyond to you this movie is 90 minutes long , and life is too short",-
7911,"  just a big mess of a movie , full of images and events , but no tension or surprise",-
7912,  a polished and vastly entertaining caper film that puts the sting back into the con,+
7913,"  lame , haphazard teen comedy",-
7914,"  disappointingly , the characters are too strange and dysfunctional , tom , to ever get under the skin , but this is in large part by the off the wall dialogue , visual and the of the idea itself",+
7915,"  passable entertainment , but it 's the kind of motion picture that wo n't make much of a splash when it 's released , and will not be remembered long",+
7916,  one of the worst films of 2002,-
7917,  one thing is for sure this movie does not tell you a whole lot about lily chou chou,-
7918,"  a thoroughly engaging , surprisingly touching british comedy",+
7919,  and their kids will have a good time,+
7920,"  the time machine is a movie that has no interest in itself it does n't believe in itself , it has no sense of humor it 's just plain bored",-
7921,  an uneven mix of dark satire and childhood,-
7922,"  a sensitive , treatment of greene 's work as well as a remarkably faithful one",+
7923,"  it 's the type of film about growing up that we do n't see often enough these days realistic , urgent , and not in the least",+
7924,  the director has self consciousness into the proceedings at every turn the results are far more alienating than involving,-
7925,"  it tries too hard , and the logic of its own world",-
7926,  looks and feels like a project better suited for the small screen,-
7927,"  while the resident evil games may have set new standards for thrills , suspense , and gore for video games , the movie really only succeeds in the third of these",-
7928,  the first fatal attraction was vile enough do we really need the beat version ?,-
7929,"  and have tremendous chemistry their sexual and romantic tension , while never really , is palpable",+
7930,"  a densely constructed , highly referential film , and an audacious return to form that can comfortably sit among jean luc godard 's finest work",+
7931,"  dark and disturbing , but also surprisingly funny",+
7932,  what 's next my mother the car ?,-
7933,"  i 'm sure the filmmakers found this a remarkable and novel concept , but anybody who has ever seen an independent film can report that it is instead a cheap clich",-
7934,"  it 's all together with energy , intelligence and verve , by a of vintage footage",+
7935,"  whenever it to get bogged down in earnest , a stirring visual sequence like a through or a from to us if horses could fly , this is surely what they 'd look like",+
7936,"  based on barry 's popular book of the same name , the movie benefits from having a real writer plot out all of the characters ' moves and story",+
7937,"  a fantasy comedy that did not figure out a coherent game plan at , shooting or post production stages",-
7938,  a remarkably insightful look at the backstage angst of the stand up comic,+
7939,"  the redeeming feature of chan 's films has always been the action , but the stunts in the tuxedo seem tired and , what 's worse , routine",-
7940,  it would be hard to think of a recent movie that has worked this hard to achieve this little fun,-
7941,  a clich d and shallow cautionary tale about the hard lives of gay men,-
7942,  more than anything,-
7943,"  viewed on its own terms , treasure planet is better than average family entertainment , but true fans of the stevenson 's novel will likely prefer disney 's more faithful 1950 live action swashbuckling classic",+
7944,  the is a tale worth catching,+
7945,  campanella gets the tone just right funny in the middle of sad in the middle of hopeful,+
7946,"  it will probably prove interesting to ram dass fans , but to others it may feel like a parody of the , peace and love side of the '60s",-
7947,"  hardly an objective documentary , but it 's great cinematic love moore or him , you 've got to admire the intensity with which he 's willing to express his convictions",+
7948,  the film exudes the sweetness that woody allen seems to have,+
7949,"  that jack nicholson makes this man so watchable is a tribute not only to his craft , but to his legend",+
